NbElts,L_tot,rho,h,b,S,I,L,E,Mat
100,0.3844768364138268,4510,0.02801841840871133,0.02693728019895463,0.0007547399874070056,4.937457235822543e-08,0.003844768364138268,114000000000.0,Titane
100,0.7490604616034516,8900,0.014586196182972695,0.06985425247622605,0.0010189078308331394,1.8064991225369362e-08,0.0074906046160345165,124000000000.0,Cuivre
100,0.8161227500121968,4510,0.07387363557278963,0.050624712952237416,0.00373983159561067,1.7007862872346254e-06,0.008161227500121968,114000000000.0,Titane
100,0.11006496458244021,8900,0.006345575367292747,0.005230799025440265,3.319242944709266e-05,1.1137810078976383e-10,0.0011006496458244022,124000000000.0,Cuivre
100,0.7172054363454581,7850,0.030788359175210823,0.011665068702734836,0.0003591483250233107,2.8370414958501452e-08,0.00717205436345458,210000000000.0,Acier de construction
100,0.5244291111366158,4510,0.043361437991323144,0.04575016402550157,0.001983792900484649,3.10829649083722e-07,0.005244291111366158,114000000000.0,Titane
100,0.6396995346099,7800,0.021318478645480483,0.044592768609130966,0.0009506499853366109,3.600408824178156e-08,0.006396995346099,203000000000.0,Acier inoxydable
100,0.17545180357380818,2700,0.011235181996974587,0.012838625613551011,0.00014424429535926512,1.5173215437064378e-09,0.0017545180357380818,69000000000.0,Aluminium
100,0.7077605112808099,2400,0.06166298197679338,0.03932472305605649,0.0024248796890480027,7.683480544636663e-07,0.007077605112808099,30000000000.0,Beton
100,0.2561307752039188,2400,0.01490165153755211,0.008134526546985453,0.00012121788002614424,2.2431289760403864e-09,0.002561307752039188,30000000000.0,Beton
100,0.3030107308991674,8900,0.022071821670536496,0.019061668867316767,0.0004207257559822331,1.7080249509910084e-08,0.003030107308991674,124000000000.0,Cuivre
100,0.9286204897903392,8900,0.03385687188643816,0.06322482942378842,0.0021405949498431104,2.0447815166262432e-07,0.009286204897903392,124000000000.0,Cuivre
100,0.9337288741537196,8900,0.016146793218874755,0.07052974483766954,0.001138829205673849,2.474286111525854e-08,0.009337288741537197,124000000000.0,Cuivre
100,0.2089333441055315,2700,0.014035246265675455,0.004423327968185266,6.208249734733005e-05,1.0191262948820506e-09,0.0020893334410553147,69000000000.0,Aluminium
100,0.26872582695609104,8900,0.006727672027681929,0.022873494067857755,0.00015388536621567517,5.804244512748469e-10,0.0026872582695609106,124000000000.0,Cuivre
100,0.9011612270783781,7800,0.02729222913449148,0.031712134289154315,0.0008654948353633637,5.37231231626338e-08,0.009011612270783781,203000000000.0,Acier inoxydable
100,0.888642764001368,2700,0.015857885705798585,0.036507083840393285,0.0005789251629929632,1.2131981721875501e-08,0.00888642764001368,69000000000.0,Aluminium
100,0.95243321891036,7800,0.04152706826522706,0.07270562208591276,0.0030192513316274995,4.338909222856427e-07,0.0095243321891036,203000000000.0,Acier inoxydable
100,0.7207628087701891,2700,0.057996533816077236,0.015809575042283957,0.0009169005535576322,2.5700706735440345e-07,0.007207628087701891,69000000000.0,Aluminium
100,0.9610928477684065,8900,0.08649624042513299,0.0717993920521818,0.0062103774773239,3.87196314149218e-06,0.009610928477684065,124000000000.0,Cuivre
100,0.6762278550424855,7850,0.06500275352410043,0.04812794824408615,0.003128449157330994,1.101568130605228e-06,0.006762278550424855,210000000000.0,Acier de construction
100,0.740400560897306,2400,0.07319091613823928,0.05381916502892056,0.003939073994261785,1.7584388065600613e-06,0.00740400560897306,30000000000.0,Beton
100,0.2550306484604301,7800,0.005271588715258834,0.015210831289155919,8.018524657362032e-05,1.8569331196869838e-10,0.002550306484604301,203000000000.0,Acier inoxydable
100,0.3866078835962383,7850,0.011037215237978137,0.03401795719932775,0.0003754635155653083,3.811584216702592e-09,0.0038660788359623833,210000000000.0,Acier de construction
100,0.7683663720466397,2700,0.06510621440900505,0.04293410824757164,0.0027952772570258313,9.873895649748537e-07,0.007683663720466397,69000000000.0,Aluminium
100,0.8004739167223438,8900,0.06223397160260048,0.009420411708454467,0.0005862696347487604,1.8922180877225727e-07,0.008004739167223439,124000000000.0,Cuivre
100,0.8323756710685224,8900,0.06963733902265964,0.07722520780367584,0.005377757976919915,2.1732232475627665e-06,0.008323756710685224,124000000000.0,Cuivre
100,0.6813427981083251,2500,0.02601482600468199,0.04389102286941778,0.0011418173231154216,6.439575400302048e-08,0.006813427981083251,69000000000.0,Verre
100,0.27127344430448463,4510,0.012108275194236162,0.01880957450472634,0.00022775150438971489,2.7825602334931547e-09,0.0027127344430448465,114000000000.0,Titane
100,0.2523757198975711,7850,0.024524256289069634,0.020008583988608587,0.0004906956417180121,2.4593630663486608e-08,0.002523757198975711,210000000000.0,Acier de construction
100,0.11616569799038848,7850,0.009579937392361739,0.011476144449257458,0.00010994074532958614,8.408194949432032e-10,0.0011616569799038849,210000000000.0,Acier de construction
100,0.9555439270532127,2400,0.0566183755042419,0.010004506584411585,0.0005664389105308757,1.5131662342265524e-07,0.009555439270532127,30000000000.0,Beton
100,0.11726917661638105,2400,0.004721662487390315,0.006584244465539771,3.1088580100746435e-05,5.7757650776378795e-11,0.0011726917661638104,30000000000.0,Beton
100,0.8554704703205953,7800,0.057936799357695565,0.07056825293504825,0.0040884987113210015,1.1436460074404485e-06,0.008554704703205953,203000000000.0,Acier inoxydable
100,0.6406164707214038,2400,0.04787739725334112,0.03586417926646746,0.0017170835579057029,3.279980406866332e-07,0.006406164707214038,30000000000.0,Beton
100,0.35992054131808104,7800,0.008248653544466284,0.031711436361875414,0.00026157665194650065,1.4831458354482344e-09,0.0035992054131808106,203000000000.0,Acier inoxydable
100,0.5362234833901278,2500,0.01401374913003483,0.007820039402676301,0.00010958807037609312,1.7934559373102814e-09,0.005362234833901278,69000000000.0,Verre
100,0.9264274699221771,7800,0.03340321309993684,0.01762425224521547,0.0005887066534739726,5.4738663127035e-08,0.00926427469922177,203000000000.0,Acier inoxydable
100,0.575969674084082,7800,0.02064249427252341,0.013632409905568459,0.0002814069433963883,9.992586317309253e-09,0.005759696740840819,203000000000.0,Acier inoxydable
100,0.13108122564151586,4510,0.008535383655603933,0.003843942033129099,3.280952000265906e-05,1.9918871255579311e-10,0.0013108122564151586,114000000000.0,Titane
100,0.1709861644986862,2700,0.00937865465637242,0.0071463961375594475,6.702358141180379e-05,4.912781777668927e-10,0.001709861644986862,69000000000.0,Aluminium
100,0.5832866287940037,8900,0.056420117794432345,0.029769337821168092,0.0016795895465325536,4.455432762325392e-07,0.005832866287940037,124000000000.0,Cuivre
100,0.8944750402935124,2400,0.031770604936002825,0.07279057567995156,0.0023126006229919564,1.945227320906686e-07,0.008944750402935124,30000000000.0,Beton
