NbElts_1,L_tot_1,rho_1,h_1,b_1,S_1,I_1,L_1,E_1,Mat_1,nu_1,NbElts_2,L_tot_2,rho_2,h_2,b_2,S_2,I_2,L_2,E_2,Mat_2,nu_2
45,0.35710234228725546,2400,0.014267675570744353,0.008659699098233315,0.0001235537772738604,2.0959515149744002e-09,0.007935607606383455,30000000000.0,Beton,0.3,45,0.47645433001289816,2500,0.029003176378165352,0.020847610631165726,0.0006046469281990146,4.2384955564942555e-08,0.010587874000286625,69000000000.0,Verre,0.3
50,0.7812782029551033,8900,0.038300785854639696,0.06286047290001051,0.0024076055112646844,2.9431978160398076e-07,0.015625564059102065,124000000000.0,Cuivre,0.3,50,0.7977978524339528,8900,0.07656816344227522,0.040608864068951825,0.003109346141236641,1.5190927327922647e-06,0.015955957048679057,124000000000.0,Cuivre,0.3
20,0.656991392013484,7800,0.035445192370583425,0.05354658659632465,0.001897969062694831,1.9871129719900362e-07,0.0328495696006742,203000000000.0,Acier inoxydable,0.3,20,0.9217497422133907,2500,0.07498531435512235,0.07653105442217506,0.005738705173775773,2.6889646960174e-06,0.04608748711066953,69000000000.0,Verre,0.3
48,0.3465348944510913,2500,0.0296219154099961,0.01109490314038737,0.00032865228230665475,2.4031544370315684e-08,0.007219476967731069,69000000000.0,Verre,0.3,48,0.31847228684041307,4510,0.010204056181216642,0.012309275746380258,0.00012560454126615155,1.0898576521154185e-09,0.006634839309175272,114000000000.0,Titane,0.3
24,0.6724208331479224,7850,0.02508391331721099,0.0085459507744739,0.00021436588844005544,1.1239966446700044e-08,0.028017534714496767,210000000000.0,Acier de construction,0.3,24,0.18180165396342185,8900,0.0057778771773272135,0.0180971108881207,0.00010456288397603242,2.90892764068108e-10,0.007575068915142577,124000000000.0,Cuivre,0.3
42,0.6651008524881326,7800,0.02337992027104963,0.059634956805201755,0.0013942605354731056,6.351096922308051e-08,0.015835734583050775,203000000000.0,Acier inoxydable,0.3,42,0.8682834331703858,2500,0.03940874390572463,0.02454705562313244,0.000967368628691604,1.251975812089864e-07,0.020673415075485375,69000000000.0,Verre,0.3
23,0.13535292755482264,4510,0.0043476606581387255,0.0073001377403389255,3.1738521652665285e-05,4.999386654725883e-11,0.005884909893687941,114000000000.0,Titane,0.3,23,0.973880035612471,8900,0.044289842706999864,0.056932580502448114,0.0025215350353570342,4.1218486092746336e-07,0.04234261024402048,124000000000.0,Cuivre,0.3
50,0.24619427263883542,7800,0.021509118315877027,0.02439727250897296,0.0005247638209801934,2.023148943807957e-08,0.004923885452776709,203000000000.0,Acier inoxydable,0.3,50,0.8679108792009161,2700,0.016826118850421984,0.0758098704505292,0.001275585890235698,3.009513979858949e-08,0.017358217584018322,69000000000.0,Aluminium,0.3
39,0.9733903085213401,2500,0.05727658415435094,0.03941498449548041,0.002257555676397821,6.171794302880833e-07,0.024958725859521542,69000000000.0,Verre,0.3,39,0.17302097488718854,8900,0.0032179894740793774,0.008464796034970024,2.7239624540762386e-05,2.3506561695189238e-11,0.004436435253517655,124000000000.0,Cuivre,0.3
39,0.6902194152426571,4510,0.05169707339544388,0.020936311965329104,0.0010823460563015286,2.4105536916432307e-07,0.017697933724170695,114000000000.0,Titane,0.3,39,0.7924597656500624,8900,0.05676379730149479,0.06032170651786195,0.003424089121660173,9.194046479804415e-07,0.02031948117051442,124000000000.0,Cuivre,0.3
11,0.16182329246604413,2500,0.00905301604364672,0.003444686610648683,3.118480315153757e-05,2.129846678631884e-10,0.014711208406004012,69000000000.0,Verre,0.3,11,0.4585906185553922,2500,0.02154562331160955,0.02803379683719827,0.0006040056266484651,2.3365649819612002e-08,0.04169005623230838,69000000000.0,Verre,0.3
18,0.46887238763160166,2400,0.029520492028260334,0.014023951342683189,0.0004139939438163899,3.006491120100546e-08,0.026048465979533426,30000000000.0,Beton,0.3,18,0.5012464696267963,7800,0.005370895283418754,0.018362363346920117,9.862233069239467e-05,2.3707588788500455e-10,0.027847026090377574,203000000000.0,Acier inoxydable,0.3
37,0.6573797825776649,7850,0.020375462441904607,0.04638428800891673,0.0009451013182201691,3.26973135087786e-08,0.0177670211507477,210000000000.0,Acier de construction,0.3,37,0.22128113440830366,2500,0.007541808176407245,0.0054290303235550105,4.094470528415005e-05,1.9407404936438595e-10,0.0059805712002244235,69000000000.0,Verre,0.3
40,0.40922834155413046,2500,0.009356410767412768,0.009742901850177899,9.115859177685027e-05,6.650203292620527e-10,0.010230708538853262,69000000000.0,Verre,0.3,40,0.31199645174661716,4510,0.008567826240067546,0.03095421049326951,0.0002652102969048087,1.6223719765034482e-09,0.007799911293665429,114000000000.0,Titane,0.3
15,0.4041483988229818,2400,0.006367053723126481,0.011610651289356134,7.392564051981825e-05,2.497415936386366e-10,0.02694322658819879,30000000000.0,Beton,0.3,15,0.6764773805597696,2400,0.028654973537035403,0.024157206016512008,0.000692224099131864,4.73658671081896e-08,0.04509849203731797,30000000000.0,Beton,0.3
48,0.9150529838324855,7800,0.08967169843889301,0.0499789607613144,0.004481698297677852,3.0031163765549012e-06,0.019063603829843446,203000000000.0,Acier inoxydable,0.3,48,0.11369229466695721,8900,0.0024280977954718695,0.00917807706589489,2.2285268690370308e-05,1.0948861899231579e-11,0.002368589472228275,124000000000.0,Cuivre,0.3
22,0.8222225916054199,4510,0.07415888899933426,0.053709172701874586,0.003983012576644391,1.8253950201943361e-06,0.03737375416388272,114000000000.0,Titane,0.3,22,0.8653403451407798,4510,0.06053590581837485,0.03115297463537789,0.0018858735384894565,5.759137020282897e-07,0.03933365205185363,114000000000.0,Titane,0.3
23,0.486166212529055,8900,0.045380993580479395,0.01576584375427307,0.0007154696542035073,1.2278857880232518e-07,0.02113766141430674,124000000000.0,Cuivre,0.3,23,0.9069965658723486,4510,0.058473763199720495,0.031219922660792203,0.0018255463647807511,5.201561177969152e-07,0.03943463329879776,114000000000.0,Titane,0.3
47,0.13502696401538347,2400,0.004408837823035042,0.010660109014087312,4.699869181898493e-05,7.612946386784656e-11,0.0028729141279868822,30000000000.0,Beton,0.3,47,0.29089127204655735,7850,0.019566017937956853,0.011596391233845952,0.00022689519889699551,7.238506270563569e-09,0.006189176000990582,210000000000.0,Acier de construction,0.3
41,0.6911661457777379,2500,0.04242217789995508,0.06763526875901267,0.00286923540360611,4.3029951508839013e-07,0.016857710872627756,69000000000.0,Verre,0.3,41,0.2525774614009761,4510,0.010008426031352257,0.022266613239362933,0.00022285375157489278,1.8602455361346386e-09,0.006160425887828685,114000000000.0,Titane,0.3
45,0.2318916999798754,4510,0.004566122366242367,0.010513500769473976,4.800593101100146e-05,8.340819872536904e-11,0.005153148888441676,114000000000.0,Titane,0.3,45,0.23048398799032915,2500,0.003383712278174327,0.0177983860412965,6.0224617379621525e-05,5.746185712904237e-11,0.005121866399785092,69000000000.0,Verre,0.3
34,0.8913525667073943,2700,0.08695869849374634,0.03397191791692929,0.002954153767392553,1.8615637492150358e-06,0.026216251961982184,69000000000.0,Aluminium,0.3,34,0.4456776588028952,8900,0.041880500815474724,0.01917481024377321,0.0008030506560509171,1.1737765478373898e-07,0.013108166435379272,124000000000.0,Cuivre,0.3
22,0.8495731165247209,4510,0.04332160854547845,0.03726541238759015,0.001614397607741004,2.524866422410324e-07,0.03861695984203277,114000000000.0,Titane,0.3,22,0.36835263753053626,2700,0.02720698268539525,0.009881548150363989,0.0002688471094318525,1.6583831858230197e-08,0.016743301705933467,69000000000.0,Aluminium,0.3
50,0.22124940542633936,4510,0.015931667144324386,0.020274109294249675,0.0003230003609236392,6.831942618510819e-09,0.004424988108526787,114000000000.0,Titane,0.3,50,0.3176767474846169,2400,0.028381488867494295,0.007450496566159182,0.0002114561853497513,1.419415345373521e-08,0.006353534949692338,30000000000.0,Beton,0.3
43,0.9336055149025565,7800,0.04717538892455263,0.0771795463022792,0.003640975113830539,6.75254431515368e-07,0.021711756160524568,203000000000.0,Acier inoxydable,0.3,43,0.3875330013404852,7800,0.02828286916002546,0.03303417650287292,0.0009343012918399423,6.228057767467213e-08,0.009012395380011284,203000000000.0,Acier inoxydable,0.3
46,0.14968008010011938,8900,0.01405915966529479,0.01300765397047593,0.00018287668404182682,3.0122833309828428e-09,0.003253914784785204,124000000000.0,Cuivre,0.3,46,0.4706427722737241,7850,0.02858796743443834,0.020504283034211278,0.0005861757756485385,3.9922081613845466e-08,0.010231364614646176,210000000000.0,Acier de construction,0.3
40,0.26989480027266993,2500,0.017599087152908914,0.010925972312571402,0.00019228713895921384,4.963057142670423e-09,0.0067473700068167485,69000000000.0,Verre,0.3,40,0.5899875215591169,8900,0.011688806536245308,0.009253877355022845,0.00010816678211300348,1.2315527124758244e-09,0.014749688038977924,124000000000.0,Cuivre,0.3
50,0.30672908652756825,2700,0.009981389906174037,0.018727025213712452,0.00018692174044081616,1.5518888465982476e-09,0.006134581730551365,69000000000.0,Aluminium,0.3,50,0.5543072220717506,4510,0.019221477200371248,0.03801613921342194,0.0007307263531369291,2.2498162317056002e-08,0.011086144441435013,114000000000.0,Titane,0.3
25,0.41185489334950964,2400,0.011857245960605308,0.02001555032473458,0.00023732930323725135,2.7805952443070773e-09,0.016474195733980387,30000000000.0,Beton,0.3,25,0.9845798271938067,4510,0.03892019055711206,0.05176076738650195,0.002014538930065007,2.5429881370118576e-07,0.03938319308775227,114000000000.0,Titane,0.3
26,0.29791769878461083,8900,0.019827195234409185,0.008388196956602268,0.00016631441872323014,5.4484280766227395e-09,0.011458373030177339,124000000000.0,Cuivre,0.3,26,0.30703503426761036,2500,0.02603185953258625,0.007425653282868006,0.00019330356319730788,1.0916137509261504e-08,0.011809039779523476,69000000000.0,Verre,0.3
33,0.16064309090768558,2500,0.0037940959121052606,0.014680616239322236,5.56996660607986e-05,6.681715133396994e-11,0.004867972451748048,69000000000.0,Verre,0.3,33,0.4987098087612529,4510,0.00601438467098712,0.02621873045371191,0.0001576895305335481,4.753396226923186e-10,0.015112418447310694,114000000000.0,Titane,0.3
