NbElts,L_tot,rho,r_ext,r_int,S,I,L,E,Mat
23,0.9807616427320383,2400,0.07532944259867053,0.04595393297013489,0.011192743679803979,2.1787483906111403e-05,0.04264181055356688,30000000000.0,Beton
29,0.9900221445170797,7850,0.08509199025533512,0.0752291357143274,0.00496756153020131,1.602047245235854e-05,0.03413869463851999,210000000000.0,Acier de construction
43,0.917306316205315,7850,0.027286064707069128,0.0028268291935127504,0.0023139035131437722,4.3531483596784167e-07,0.021332705028030582,210000000000.0,Acier de construction
31,0.9513484783338333,4510,0.08504482799696231,0.0334011546076427,0.01921707714845317,4.010728862955308e-05,0.030688660591413976,114000000000.0,Titane
47,0.31471622716818115,8900,0.01727939274544843,0.011913813607548769,0.0004920942319887585,5.4193890987572045e-08,0.006696089939748535,124000000000.0,Cuivre
31,0.10051139265376756,2400,0.008631452358981169,0.002269328262445297,0.00021787610775803864,4.338557161393914e-09,0.0032423029888312116,30000000000.0,Beton
24,0.20480415635593735,7800,0.006974007738452703,0.0011843840758020848,0.00014839004488133276,1.8563427518194167e-09,0.008533506514830723,203000000000.0,Acier inoxydable
44,0.7076618363521852,8900,0.040287883256975666,0.00884116865463266,0.004853595006647062,2.064330786163007e-06,0.016083223553458755,124000000000.0,Cuivre
27,0.8683070830398155,8900,0.08350745988926826,0.038770539253325485,0.017185583547994314,3.6419046649419026e-05,0.03215952159406724,124000000000.0,Cuivre
26,0.3851852016594305,7800,0.008987869607302539,0.0045690549395546514,0.00018819879506543115,4.782981246898762e-09,0.014814815448439635,203000000000.0,Acier inoxydable
30,0.6173287265657785,2700,0.020183850743101847,0.004328883930252878,0.0012209755700575615,1.3007268460672784e-07,0.020577624218859284,69000000000.0,Aluminium
12,0.6977132915128913,2400,0.05170185160454951,0.02309533206210262,0.006722025262654354,5.38850287056184e-06,0.058142774292740944,30000000000.0,Beton
24,0.6752816261068666,8900,0.04029394747306449,0.02663575328042685,0.002871851895980669,1.6750546849519528e-06,0.02813673442111944,124000000000.0,Cuivre
23,0.5425013503524359,2400,0.040536309563649925,0.02320218588575602,0.0034709916691841127,1.8930214313472702e-06,0.023587015232714604,30000000000.0,Beton
43,0.11981368517209218,2500,0.009660067814694808,0.005060250925339704,0.00021271965997941166,6.324317669289723e-09,0.002786364771444004,69000000000.0,Verre
31,0.5083682138503322,2700,0.018907666493753413,0.0059847406566296375,0.0010105961061044506,9.93711503360879e-08,0.016398974640333294,69000000000.0,Aluminium
23,0.2490223980670253,7850,0.010580720725299479,0.009207383562763507,8.537510198235929e-05,4.198908941425381e-09,0.010827060785522839,210000000000.0,Acier de construction
33,0.5011216048285233,8900,0.03133604209874114,0.005417653005730283,0.002992670387163388,7.566207672643602e-07,0.015185503176621918,124000000000.0,Cuivre
40,0.241440291704993,2400,0.006242405558194438,0.0056093479103695365,2.3570876994620343e-05,4.1503842480993004e-10,0.006036007292624825,30000000000.0,Beton
12,0.8852681986380342,2500,0.017121146417767963,0.0034271320330836854,0.0008840077952338183,6.737882853797078e-08,0.07377234988650284,69000000000.0,Verre
38,0.18014495441803707,2700,0.0051147068294347935,0.0017219041646945226,7.287009610905309e-05,5.305886646896345e-10,0.004740656695211502,69000000000.0,Aluminium
36,0.41064926749839825,2400,0.019840591440029417,0.017437019215486786,0.0002814849096995336,4.909791444144499e-08,0.01140692409717773,30000000000.0,Beton
28,0.5915908417537094,2500,0.03060564506090952,0.009016469763739996,0.0026873459472133033,6.839310461917873e-07,0.021128244348346762,69000000000.0,Verre
10,0.1656020113561092,2700,0.009879682454995533,0.006153167870037084,0.00018769963852204204,6.356898749337708e-09,0.01656020113561092,69000000000.0,Aluminium
