NbElts,L_tot,rho,r,S,I,L,E,Mat
23,0.21019193685412105,4510,0.007903869173949474,0.00019625889936336497,3.0651296831327492e-09,0.009138779863222654,114000000000.0,Titane
29,0.6914469961355084,7800,0.047588110392002704,0.007114539475452702,4.027946771674618e-06,0.023842999866741668,203000000000.0,Acier inoxydable
41,0.5166593366340003,8900,0.024422747069987785,0.0018738675747576295,2.7942671718719673e-07,0.012601447234975617,124000000000.0,Cuivre
44,0.8342023308813531,2400,0.03563280958560646,0.003988871141221703,1.2661645489820472e-06,0.018959143883667116,30000000000.0,Beton
48,0.26791141950062036,7800,0.007732044192464405,0.00018781856922817417,2.807160160198519e-09,0.0055814879062629245,203000000000.0,Acier inoxydable
15,0.950201319549294,2400,0.06332947452164256,0.012599741689680534,1.2633201384755549e-05,0.0633467546366196,30000000000.0,Beton
21,0.3883621392954497,7800,0.028263245769619298,0.002509538962207015,5.011618705275803e-07,0.018493435204545224,203000000000.0,Acier inoxydable
14,0.9272841674453395,7800,0.08031809339261008,0.02026640203848164,3.268462026068598e-05,0.06623458338895281,203000000000.0,Acier inoxydable
31,0.7341768169083653,4510,0.02964131407769291,0.002760226868181945,6.062890071957371e-07,0.023683123126076303,114000000000.0,Titane
21,0.2093084407344441,2700,0.019388609544171615,0.0011809817928158512,1.1098813155875288e-07,0.0099670686064021,69000000000.0,Aluminium
22,0.9601666613549129,8900,0.037072025720997326,0.004317601025639375,1.4834576496813612e-06,0.04364393915249604,124000000000.0,Cuivre
17,0.18643659845741356,2400,0.0055721953264588914,9.754444365036953e-05,7.57173155166038e-10,0.010966858732789034,30000000000.0,Beton
37,0.38229452231663585,7800,0.03114531997049522,0.0030474421253270058,7.390282995955684e-07,0.010332284386936104,203000000000.0,Acier inoxydable
47,0.6574609760772592,8900,0.05620318365378354,0.009923656128597419,7.836705917786674e-06,0.01398853140589913,124000000000.0,Cuivre
12,0.8898698144448443,7800,0.05013180533026047,0.007895444077473683,4.960703379962602e-06,0.07415581787040369,203000000000.0,Acier inoxydable
16,0.5623065097594686,8900,0.04077696663611972,0.005223717767544141,2.1714485552237443e-06,0.03514415685996679,124000000000.0,Cuivre
44,0.9643034730695252,8900,0.08584606033050536,0.023152111807214253,4.2655138669971845e-05,0.02191598802430739,124000000000.0,Cuivre
41,0.5295280223451866,4510,0.014462869498444072,0.000657141368233368,3.436431974640155e-08,0.012915317618175283,114000000000.0,Titane
46,0.8364429562378314,2700,0.03656786999265016,0.004200966334508585,1.40439261941778e-06,0.018183542526909378,69000000000.0,Aluminium
48,0.9500831830545631,7800,0.02157188914834885,0.0014619288361026966,1.7007583075629146e-07,0.019793399646970064,203000000000.0,Acier inoxydable
28,0.8442691588882032,2500,0.05452769070797818,0.009340800217019265,6.943178056086368e-06,0.03015246996029297,69000000000.0,Verre
47,0.5191087128979878,2400,0.03499610720568699,0.003847594978073614,1.1780638634341462e-06,0.011044866231872081,30000000000.0,Beton
35,0.8929583380937393,2700,0.04873927145758354,0.0074629054431705755,4.43206390794047e-06,0.025513095374106835,69000000000.0,Aluminium
40,0.36880361944244366,2400,0.015623898078432584,0.0007668822168605331,4.6800174257546884e-08,0.009220090486061091,30000000000.0,Beton
25,0.3336100549030909,4510,0.027741058314544577,0.002417663886086839,4.651381727839156e-07,0.013344402196123636,114000000000.0,Titane
19,0.21242437003881998,2700,0.018105140062479003,0.001029801809211525,8.439125335389531e-08,0.011180230002043157,69000000000.0,Aluminium
33,0.35228529141813203,8900,0.024827046133236413,0.001936421853218699,2.983940000415275e-07,0.010675311861155517,124000000000.0,Cuivre
31,0.7206615035294509,2400,0.009304418182451946,0.00027197458034324446,5.886359285660466e-09,0.02324714527514358,30000000000.0,Beton
22,0.6789415757298044,8900,0.05660002705991832,0.010064290184608853,8.060397073143257e-06,0.030860980714991108,124000000000.0,Cuivre
49,0.9297629048476985,2700,0.021518124288412953,0.001454650618750296,1.6838660004287373e-07,0.018974753160157114,69000000000.0,Aluminium
14,0.9649374422823647,2700,0.06368409164529996,0.012741242747155027,1.2918548379945988e-05,0.06892410302016891,69000000000.0,Aluminium
40,0.5204148384361916,2500,0.030463926538621997,0.002915557638742974,6.7644641445791e-07,0.01301037096090479,69000000000.0,Verre
48,0.16683450679213357,8900,0.013885554066892116,0.0006057261182056325,2.9197302987165972e-08,0.0034757188915027827,124000000000.0,Cuivre
49,0.6204448531752311,7850,0.007985755767178467,0.0002003465740181325,3.1941402137971186e-09,0.012662139860719002,210000000000.0,Acier de construction
23,0.3209626299927846,7850,0.03019048395260624,0.002863452757374614,6.524844718766406e-07,0.013954896956208026,210000000000.0,Acier de construction
13,0.34943775924055653,7800,0.032738461473490896,0.0033671805563475063,9.022418044943903e-07,0.026879827633888964,203000000000.0,Acier inoxydable
12,0.9691505090278714,2500,0.06191150475261612,0.012041832777132257,1.1539189880865325e-05,0.08076254241898928,69000000000.0,Verre
45,0.7826085821592346,2500,0.02727853779364461,0.002337717603058193,4.348848016151583e-07,0.017391301825760767,69000000000.0,Verre
30,0.6392007326532833,8900,0.05042994418950347,0.007989633314398583,5.079767456930358e-06,0.021306691088442777,124000000000.0,Cuivre
34,0.5085485052606987,2400,0.005913733745923528,0.00010986855368193592,9.605875442164019e-10,0.014957308978255845,30000000000.0,Beton
17,0.9129180208443691,4510,0.011252108915878389,0.00039775690467146196,1.258999595579654e-08,0.05370106004966877,114000000000.0,Titane
12,0.3272091512881402,7800,0.025447989947418648,0.0020344960067938296,3.2938500134082804e-07,0.027267429274011684,203000000000.0,Acier inoxydable
23,0.9389887411003098,7800,0.09377946214128072,0.02762901154263851,6.074644002230711e-05,0.04082559743914391,203000000000.0,Acier inoxydable
37,0.3520742443201116,7850,0.023166964856506628,0.0016861187288186212,2.2623846255372463e-07,0.009515520116759773,210000000000.0,Acier de construction
43,0.517521502410848,2700,0.049236683058366884,0.007616009001964586,4.615779280910817e-06,0.012035383776996466,69000000000.0,Aluminium
14,0.7992964580131887,8900,0.027854323868043575,0.0024374466261405463,4.7278138116467645e-07,0.05709260414379919,124000000000.0,Cuivre
39,0.8999271930815766,7800,0.0245213411627338,0.001889027637903767,2.839662720663964e-07,0.02307505623286094,203000000000.0,Acier inoxydable
29,0.9462178428641853,8900,0.07711353498826268,0.018681472164369196,2.7772330845416365e-05,0.03262820147807535,124000000000.0,Cuivre
10,0.32953623824202294,7850,0.010400253537662281,0.0003398112290650082,9.188943645090799e-09,0.03295362382420229,210000000000.0,Acier de construction
36,0.6203193246565899,7800,0.04691687080231158,0.006915251022426108,3.8054501312035334e-06,0.01723109235157194,203000000000.0,Acier inoxydable
14,0.2556181850254783,2400,0.012143998178885259,0.00046331169143648933,1.708191887771148e-08,0.018258441787534163,30000000000.0,Beton
27,0.9562553336246007,7800,0.014872607520550946,0.0006949028731474331,3.842716548219381e-08,0.03541686420831854,203000000000.0,Acier inoxydable
15,0.12354849252840386,7800,0.002091814448311811,1.374662828926257e-05,1.503773803290701e-11,0.008236566168560257,203000000000.0,Acier inoxydable
34,0.46621146458653606,8900,0.03480230907605856,0.0038050992746300255,1.1521847424462818e-06,0.013712101899604002,124000000000.0,Cuivre
14,0.4056077722857204,2700,0.009792691798701195,0.00030126872216899744,7.2226775528670876e-09,0.028971983734694316,69000000000.0,Aluminium
