NbElts,L_tot,rho,h,b,S,I,L,E,Mat
44,0.3867677130512991,7800,0.03621909702936489,0.01057355962226676,0.0003829647819046546,4.186516709319261e-08,0.008790175296620434,203000000000.0,Acier inoxydable
32,0.5167553523982791,2700,0.007838665764329747,0.008408591862181972,6.591214115630754e-05,3.3749587375509504e-10,0.01614860476244622,69000000000.0,Aluminium
34,0.22603365545955706,2700,0.020650318345811387,0.007002523929612606,0.00014460434837066245,5.138704080811107e-09,0.006648048689986972,69000000000.0,Aluminium
27,0.4968800718991525,2400,0.029555429808846814,0.028988597824230758,0.0008567704682509416,6.236742326375968e-08,0.018402965625894538,30000000000.0,Beton
25,0.7057721003865906,2400,0.0307419550688035,0.0339739248421394,0.0010444248710079565,8.225435971880217e-08,0.02823088401546362,30000000000.0,Beton
31,0.7537577554759176,7800,0.022057843002914766,0.03499054577391235,0.0007718159652672613,3.12938210232411e-08,0.02431476630567476,203000000000.0,Acier inoxydable
16,0.5443436566098222,8900,0.03040258234004129,0.02897130259169393,0.0008808024125422264,6.784505457950087e-08,0.03402147853811389,124000000000.0,Cuivre
12,0.8441915483726348,2400,0.02777456435871142,0.034471561075467255,0.0009574325916358168,6.154906680390381e-08,0.07034929569771957,30000000000.0,Beton
39,0.6986822518495329,2700,0.0588128359254697,0.030139572300683922,0.001772593720583955,5.109427053451837e-07,0.01791492953460341,69000000000.0,Aluminium
43,0.4341557957367146,2500,0.01213860593162731,0.02295732496871633,0.0002786699210395558,3.421735801873095e-09,0.010096646412481735,69000000000.0,Verre
34,0.5070816923335099,8900,0.022796187887519876,0.02185397811397343,0.0004981873911758856,2.1574261632841564e-08,0.01491416742157382,124000000000.0,Cuivre
21,0.28281463058658274,2700,0.003110111583726578,0.01542033986706233,4.795897764555131e-05,3.8658109520706725e-11,0.013467363361265845,69000000000.0,Aluminium
27,0.13072762252557346,8900,0.01288219324861517,0.010266705091400458,0.00013225767901396196,1.8290234372599954e-09,0.004841763797243461,124000000000.0,Cuivre
17,0.16428940037091921,7850,0.004057073448979928,0.014057819869026515,5.7033607741169965e-05,7.823036179360695e-11,0.009664082374759953,210000000000.0,Acier de construction
31,0.24851852018955578,8900,0.010070616806841888,0.009638419668733151,9.706483110733949e-05,8.203379429799145e-10,0.008016726457727606,124000000000.0,Cuivre
26,0.882832486175623,8900,0.046719535716042385,0.013603399685617114,0.0006355445174717885,1.1560104688248349e-07,0.033955095622139345,124000000000.0,Cuivre
36,0.9971778700704055,7850,0.06394499221203065,0.048430987909912085,0.003096919144720279,1.0552653991361695e-06,0.027699385279733486,210000000000.0,Acier de construction
31,0.42567605668900055,2400,0.014046541570993786,0.021908818851101203,0.00030774313476336537,5.059946732686281e-09,0.013731485699645178,30000000000.0,Beton
19,0.23682188972156298,2500,0.021078291746971727,0.0028293234253304552,5.963730460565671e-05,2.2080432876492835e-09,0.01246430998534542,69000000000.0,Verre
24,0.8710327449520061,8900,0.06490087288665135,0.02035827913937909,0.0013212700866158083,4.637793766118624e-07,0.03629303103966692,124000000000.0,Cuivre
